Venue,URL,content
The Old Blue Last,https://www.theoldbluelast.com/tickets,
The Social,https://www.thesocial.com/events/,"Manic Street Preachers , Tom Sheehan
06 Jul 2017 - 06 Jul 2017"
The Shacklewell Arms,https://www.shacklewellarms.com/events,"71 Shacklewell Lane E8 2EB
info@shacklewellarms.com
020 7249 0810
The Shacklewell Arms is programmed and produced by
LNZRT
Work With Us"
The Lower Third,https://thelowerthird.co.uk/whats-on/,"This website uses cookies so that we can provide you with the best user experience possible. Cookie information is stored in your browser and performs functions such as recognising you when you return to our website and helping our team to understand which sections of the website you find most interesting and useful.
On the privacy notice page, you can read our
privacy policy
."
DICE (Whats on in ldn GENERAL),https://dice.fm/browse/london/music/gig?lng=en,"ClientError: 403, message='Forbidden', url=URL('https://dice.fm/browse/london/music/gig?lng=en')"
100 Club,https://www.the100club.co.uk/events-calendar/,
Sebright Arms,https://www.sebrightarms.com/sebright-arms-whats-on,"Kitchen Opening Hours
Monday to Friday 5pm - 10pm
Saturday 1pm-10pm
Sunday 12pm-7pm"
The Slaughtered Lamb,https://www.ents24.com/london-events/the-slaughtered-lamb,"🍪 We know it’s annoying, but...
We use cookies to offer you a better experience, you can find more info in our
privacy policy
. By clicking
Allow
you consent to our use of cookies for personalised content, ads and site analytics.
Do you agree to non-essential cookies?
Allow
Deny"
The Fiddlers elbow,https://www.thefiddlerselbow.co.uk/whos-playing,"Friday, June 21, 2024 – Saturday, June 22, 2024
9:00pm
21:00
The Fiddler's Elbow
(map)
CRAWDADDY CLUB -
Since 2010, on the third Friday of every month Gary, Lucienne and Danny, plus special guests, have been playing the finest northern soul, mod, Motown, vintage R&B, Two Tone, ska and rocksteady, all on vinyl."
The Camden Assembly,https://www.camdenassembly.com/whats-on/,"ClientError: Cannot connect to host www.camdenassembly.com:443 ssl:default [nodename nor servname provided, or not known]"
Servant Jazz Quarters,http://servantjazzquarters.com/,"Home
Servant Jazz Quarters
Grassroots music venue & bar
SJQ is a music venue & bar in the heart of Dalston. Experience London's thriving live music scene during the week and delight in hearing incredible DJs at the weekend."
Dream Bags Jaguar Shoes + The Victoria,https://www.jaguarshoes.com/events/,"The original East London Arts collective, we create beautiful and unique exhibitions, events, merchandise, prints, media content and publications. The organisation was born out of much celebrated Shoreditch bar and exhibition space Dream Bags Jaguar Shoes in London in 2001.
The unusual name of this founding business is derived from the two 1980s bag and shoe wholesaler signs that hang on the buildings original shop front."
